date,price,gex
2011-05-02,1361.219971,1897312571.486
2011-05-03,1356.619995,1859730656.13
2011-05-04,1347.319946,1717763844.535
2011-05-05,1335.099976,1361864280.275
2011-05-06,1340.199951,1490328625.98
2011-05-09,1346.290039,1677058729.04
2011-05-10,1357.160034,2034952130.69
2011-05-11,1342.079956,1536770884.92
2011-05-12,1348.650024,1674923266.095
2011-05-13,1337.77002,1218149461.54
2011-05-16,1329.469971,779596412.269
2011-05-17,1328.97998,841850592.0
2011-05-18,1340.680054,1366160182.325
2011-05-19,1343.599976,1543685364.78
2011-05-20,1333.27002,1288076423.565
2011-05-23,1317.369995,539696742.805
2011-05-24,1316.280029,510244377.512
2011-05-25,1320.469971,740695062.903
2011-05-26,1325.689941,794680724.93
2011-05-27,1331.099976,918664965.16
2011-05-31,1345.199951,1501018826.775
2011-06-01,1314.550049,765472910.6735
2011-06-02,1312.939941,737054457.098
2011-06-03,1300.160034,405956517.902
2011-06-06,1286.170044,24119666.104
2011-06-07,1284.939941,-172403089.14
2011-06-08,1279.560059,-285916518.02
2011-06-09,1289.0,-110999211.335
2011-06-10,1270.97998,-459227978.2
2011-06-13,1271.829956,-449818392.34
2011-06-14,1287.869995,97844618.176
2011-06-15,1265.420044,-618829105.244
2011-06-16,1267.640015,-643026779.91
2011-06-17,1271.5,-444255510.62
2011-06-20,1278.359985,130641736.1
2011-06-21,1295.52002,594237200.535
2011-06-22,1287.140015,421966023.175
2011-06-23,1283.5,673524372.871
2011-06-24,1268.449951,197912878.19
2011-06-27,1280.099976,533994908.78
2011-06-28,1296.670044,1000303669.785
2011-06-29,1307.410034,1263240916.7
2011-06-30,1320.640015,1731119949.93
2011-07-01,1339.670044,2019895206.727
2011-07-05,1337.880005,2204693723.48
2011-07-06,1339.219971,2236776776.815
2011-07-07,1353.219971,2729301387.395
2011-07-08,1343.800049,2490173790.3
2011-07-11,1319.48999,1737340522.96
2011-07-12,1313.640015,1533836324.39
2011-07-13,1317.719971,1957650368.7
2011-07-14,1308.869995,1650214262.91
2011-07-15,1316.140015,4176336442.145
2011-07-18,1305.439941,887183380.03
2011-07-19,1326.72998,1304589932.604
2011-07-20,1325.839966,1549113896.345
2011-07-21,1343.800049,1763114024.43
2011-07-22,1345.02002,1635847483.62
2011-07-25,1337.430054,1594831932.2
2011-07-26,1331.939941,1541061094.85
2011-07-27,1304.890015,839162001.791
2011-07-28,1300.670044,727984032.625
2011-07-29,1292.280029,634859900.982
2011-08-01,1286.939941,645133919.365
2011-08-02,1254.050049,54369376.39
2011-08-03,1260.339966,224930307.485
2011-08-04,1200.069946,-660360325.525
2011-08-05,1199.380005,-463212353.06
2011-08-08,1119.459961,-802754541.06
2011-08-09,1172.530029,-374593397.965
2011-08-10,1120.76001,-759558784.65
2011-08-11,1172.640015,-264886917.49
2011-08-12,1178.810059,-309018593.5
2011-08-15,1204.48999,-23047118.8
2011-08-16,1192.76001,-225224022.635
2011-08-17,1193.890015,-251705740.24
2011-08-18,1140.650024,-836496736.477
2011-08-19,1123.530029,-1187036923.04
2011-08-22,1123.819946,-361898319.395
2011-08-23,1162.349976,54580971.029
2011-08-24,1177.599976,205415735.89
2011-08-25,1159.27002,2799983.66
2011-08-26,1176.800049,137694130.06
2011-08-29,1210.079956,561222253.075
2011-08-30,1212.920044,635378251.37
2011-08-31,1218.890015,605715448.21
2011-09-01,1204.420044,320553022.015
